,train,val,test
0,LUAD302,LUAD164,LUSC382
1,LUSC251,LUAD329,LUAD480
2,LUAD274,LUAD414,LUSC166
3,LUAD357,LUAD397,LUSC279
4,LUAD438,LUAD332,LUAD141
5,LUSC361,LUAD344,LUSC495
6,LUSC387,LUSC156,LUAD129
7,LUSC288,LUAD173,LUSC54
8,LUSC108,LUSC254,LUSC127
9,LUSC252,LUSC112,LUSC226
10,LUSC465,LUSC136,LUAD147
11,LUAD388,LUSC503,LUAD405
12,LUAD222,LUAD497,LUAD474
13,LUAD345,LUAD326,LUSC221
14,LUAD131,LUSC184,LUSC315
15,LUAD271,LUAD103,LUAD348
16,LUAD81,LUSC479,LUAD158
17,LUAD177,LUAD407,LUAD419
18,LUAD88,LUAD292,LUAD391
19,LUSC372,LUAD440,LUSC63
20,LUSC142,LUAD165,LUAD496
21,LUAD495,LUSC486,LUAD298
22,LUAD213,LUSC264,LUAD327
23,LUAD188,LUSC128,LUSC214
24,LUSC164,LUAD287,LUSC196
25,LUSC303,LUSC109,LUAD94
26,LUAD517,LUAD64,LUSC443
27,LUSC233,LUSC287,LUAD296
28,LUAD38,LUSC328,LUAD347
29,LUSC309,LUAD441,LUSC327
30,LUAD291,LUAD486,LUAD83
31,LUAD289,LUSC38,LUSC79
32,LUAD41,LUSC301,LUAD31
33,LUAD366,LUSC267,LUSC489
34,LUAD319,LUAD226,LUSC91
35,LUAD89,LUAD143,LUSC423
36,LUAD258,LUAD118,LUSC490
37,LUAD180,LUAD446,LUSC58
38,LUSC302,LUSC36,LUAD11
39,LUSC83,LUSC446,LUAD526
40,LUSC400,LUAD426,LUSC506
41,LUSC188,LUSC394,LUSC305
42,LUAD450,LUSC314,LUAD521
43,LUAD48,LUSC155,LUSC257
44,LUSC363,LUAD116,LUAD320
45,LUAD478,LUAD359,LUAD464
46,LUSC34,LUSC172,LUAD253
47,LUSC473,LUAD445,LUSC351
48,LUAD245,LUAD60,LUSC412
49,LUAD20,LUSC40,LUSC344
50,LUAD393,LUAD439,LUAD469
51,LUAD363,LUSC295,LUSC15
52,LUSC52,LUAD9,LUSC12
53,LUSC273,LUAD198,LUAD239
54,LUAD394,LUSC414,LUSC341
55,LUAD444,LUAD140,LUSC153
56,LUSC48,LUSC200,LUAD241
57,LUSC50,LUAD216,LUAD154
58,LUSC480,LUSC177,LUSC276
59,LUSC266,LUSC291,LUSC111
60,LUAD136,LUSC378,LUSC386
61,LUSC329,LUAD425,LUAD300
62,LUSC120,LUAD398,LUSC261
63,LUAD124,LUAD529,LUSC85
64,LUAD432,LUAD328,LUAD145
65,LUAD499,LUSC101,LUSC325
66,LUSC317,LUAD249,LUSC481
67,LUAD57,LUSC396,LUSC468
68,LUAD97,LUAD35,LUSC180
69,LUSC259,LUSC306,LUSC381
70,LUSC384,LUAD263,LUAD468
71,LUSC134,LUAD15,LUAD161
72,LUSC152,LUSC498,LUAD37
73,LUAD169,LUSC307,LUSC161
74,LUAD112,LUSC453,LUAD286
75,LUAD415,LUAD373,LUAD50
76,LUAD242,LUAD126,LUSC376
77,LUSC23,LUAD1,LUAD33
78,LUSC132,LUAD317,LUSC318
79,LUAD66,LUAD107,LUSC425
80,LUSC311,LUAD220,LUSC417
81,LUAD237,LUAD142,LUAD56
82,LUAD23,LUSC455,LUAD123
83,LUAD171,LUSC126,LUAD125
84,LUAD385,LUSC286,LUSC296
85,LUAD133,LUSC215,LUSC78
86,LUAD148,LUAD185,LUSC25
87,LUAD3,LUAD457,LUAD276
88,LUAD356,LUAD232,LUSC110
89,LUAD73,LUAD307,LUAD372
90,LUAD197,LUSC70,LUSC413
91,LUSC282,LUSC124,LUAD39
92,LUAD70,LUAD248,LUSC450
93,LUAD90,LUAD507,LUAD349
94,LUSC123,LUAD240,LUAD279
95,LUSC466,LUAD155,LUSC7
96,LUAD208,LUAD459,LUAD381
97,LUSC135,LUAD512,LUAD498
98,LUAD252,LUSC389,LUSC138
99,LUSC129,LUAD262,LUSC320
100,LUSC118,LUAD61,LUAD389
101,LUAD353,LUSC144,LUAD36
102,LUAD422,LUSC115,LUAD84
103,LUSC62,LUSC457,LUSC326
104,LUAD156,,LUAD516
105,LUAD461,,LUAD251
106,LUSC367,,LUSC244
107,LUAD451,,LUSC441
108,LUSC250,,LUSC350
109,LUSC422,,LUSC432
110,LUSC380,,LUAD283
111,LUAD475,,LUSC37
112,LUAD342,,LUAD79
113,LUSC415,,LUSC207
114,LUSC265,,LUSC240
115,LUAD210,,LUAD293
116,LUSC377,,LUAD109
117,LUAD247,,LUSC87
118,LUSC121,,LUSC462
119,LUSC66,,LUAD408
120,LUSC300,,LUAD315
121,LUAD367,,LUSC69
122,LUSC199,,LUAD361
123,LUAD75,,LUAD311
124,LUSC339,,LUSC59
125,LUAD505,,LUAD266
126,LUSC491,,LUSC47
127,LUSC374,,LUAD434
128,LUSC364,,LUAD7
129,LUAD513,,LUSC263
130,LUAD199,,LUSC55
131,LUSC505,,LUSC88
132,LUAD350,,LUSC17
133,LUAD379,,LUSC43
134,LUAD202,,LUSC459
135,LUSC391,,LUAD254
136,LUSC86,,LUAD12
137,LUAD99,,LUSC241
138,LUAD130,,LUSC416
139,LUSC245,,LUAD203
140,LUAD282,,LUAD159
141,LUSC81,,LUSC242
142,LUSC225,,LUAD105
143,LUSC470,,LUAD72
144,LUAD71,,LUAD178
145,LUSC478,,LUSC492
146,LUAD527,,LUSC353
147,LUAD204,,LUSC163
148,LUSC411,,LUAD51
149,LUAD13,,LUAD285
150,LUSC97,,LUAD189
151,LUSC149,,LUAD448
152,LUSC206,,LUSC90
153,LUAD29,,LUAD316
154,LUAD333,,LUSC71
155,LUAD404,,LUAD255
156,LUAD80,,LUSC293
157,LUSC162,,LUSC243
158,LUAD473,,LUSC383
159,LUSC436,,LUSC61
160,LUAD453,,LUAD403
161,LUSC346,,LUSC14
162,LUAD409,,LUAD230
163,LUAD127,,LUSC274
164,LUSC496,,LUSC205
165,LUSC323,,LUAD135
166,LUAD194,,LUSC312
167,LUAD223,,LUAD501
168,LUAD91,,LUAD431
169,LUAD284,,LUAD167
170,LUAD162,,LUSC375
171,LUAD267,,LUAD212
172,LUSC220,,LUSC26
173,LUAD354,,LUAD514
174,LUSC21,,LUSC458
175,LUSC198,,LUSC249
176,LUSC401,,LUSC125
177,LUSC181,,LUSC218
178,LUAD260,,LUSC232
179,LUAD303,,LUAD191
180,LUSC44,,LUAD93
181,LUAD530,,LUSC464
182,LUSC488,,LUAD190
183,LUAD278,,LUAD40
184,LUSC75,,LUSC512
185,LUSC494,,LUAD68
